"population","relationship_type","sim_id","locus","loci_set","combined_LR"
"AfAm","full_siblings",2,"FESFPS","core_13",1
"AfAm","full_siblings",2,"FGA","core_13",0.878676470588236
"AfAm","full_siblings",2,"LPL","core_13",1
"AfAm","full_siblings",2,"Penta_C","core_13",1
"AfAm","full_siblings",2,"Penta_D","core_13",1
"AfAm","full_siblings",2,"Penta_E","core_13",1
"AfAm","full_siblings",2,"SE33","core_13",1
"AfAm","full_siblings",2,"TH01","core_13",1
"AfAm","full_siblings",2,"TPOX","core_13",1.60856573705179
"AfAm","full_siblings",2,"vWA","core_13",0.25
"AfAm","half_siblings",1,"CSF1PO","core_13",1.50588235294118
"AfAm","half_siblings",1,"D10S1248","core_13",1
"AfAm","half_siblings",1,"D12S391","core_13",1
"AfAm","half_siblings",1,"D13S317","core_13",0.5
"AfAm","half_siblings",1,"D16S539","core_13",1.11071428571429
