allele,marker,frequency,population
12,SE33,0.00292397660818713,AfAm
12,TH01,0,AfAm
12,TPOX,0.0263929618768328,AfAm
12,vWA,0.00146198830409357,AfAm
12.2,CSF1PO,0,AfAm
12.2,D10S1248,0,AfAm
12.2,D12S391,0,AfAm
12.2,D13S317,0,AfAm
12.2,D16S539,0,AfAm
12.2,D18S51,0,AfAm
12.2,D19S433,0.0365497076023392,AfAm
12.2,D1S1656,0,AfAm
12.2,D21S11,0,AfAm
12.2,D22S1045,0,AfAm
12.2,D2S1338,0,AfAm
12.2,D2S441,0,AfAm
12.2,D3S1358,0,AfAm
12.2,D5S818,0,AfAm
12.2,D6S1043,0,AfAm
12.2,D7S820,0,AfAm
12.2,D8S1179,0,AfAm
12.2,F13A01,0,AfAm
12.2,F13B,0,AfAm
12.2,FESFPS,0,AfAm
12.2,FGA,0,AfAm
12.2,LPL,0,AfAm
12.2,Penta_C,0,AfAm
12.2,Penta_D,0,AfAm
12.2,Penta_E,0,AfAm
12.2,SE33,0.00292397660818713,AfAm
12.2,TH01,0,AfAm
12.2,TPOX,0,AfAm
12.2,vWA,0,AfAm
12.3,CSF1PO,0,AfAm
12.3,D10S1248,0,AfAm
12.3,D12S391,0,AfAm
12.3,D13S317,0,AfAm
12.3,D16S539,0,AfAm
12.3,D18S51,0,AfAm
12.3,D19S433,0,AfAm
12.3,D1S1656,0,AfAm
12.3,D21S11,0,AfAm
12.3,D22S1045,0,AfAm
12.3,D2S1338,0,AfAm
12.3,D2S441,0.00584795321637427,AfAm
12.3,D3S1358,0,AfAm
12.3,D5S818,0,AfAm
12.3,D6S1043,0,AfAm
12.3,D7S820,0,AfAm
12.3,D8S1179,0,AfAm
12.3,F13A01,0,AfAm
12.3,F13B,0,AfAm
12.3,FESFPS,0,AfAm
12.3,FGA,0,AfAm
12.3,LPL,0,AfAm
12.3,Penta_C,0,AfAm
12.3,Penta_D,0,AfAm
12.3,Penta_E,0,AfAm
12.3,SE33,0,AfAm
12.3,TH01,0,AfAm
12.3,TPOX,0,AfAm
12.3,vWA,0,AfAm
13,CSF1PO,0.0467836257309942,AfAm
13,D10S1248,0.233918128654971,AfAm
13,D12S391,0,AfAm
13,D13S317,0.140350877192982,AfAm
13,D16S539,0.12280701754386,AfAm
13,D18S51,0.0409356725146199,AfAm
13,D19S433,0.245614035087719,AfAm
13,D1S1656,0.100877192982456,AfAm
13,D21S11,0,AfAm
13,D22S1045,0.00292397660818713,AfAm
13,D2S1338,0,AfAm
13,D2S441,0.043859649122807,AfAm
13,D3S1358,0.00292397660818713,AfAm
13,D5S818,0.223684210526316,AfAm
13,D6S1043,0.097953216374269,AfAm
13,D7S820,0.0146198830409357,AfAm
13,D8S1179,0.219298245614035,AfAm
13,F13A01,0.033625730994152,AfAm
13,F13B,0,AfAm
13,FESFPS,0.043859649122807,AfAm
13,FGA,0,AfAm
13,LPL,0.0745614035087719,AfAm
13,Penta_C,0.087719298245614,AfAm
13,Penta_D,0.0833333333333333,AfAm
13,Penta_E,0.103801169590643,AfAm
13,SE33,0.0116959064327485,AfAm
13,TH01,0,AfAm
13,TPOX,0.00146627565982405,AfAm
13,vWA,0.0087719298245614,AfAm
13.2,CSF1PO,0,AfAm
13.2,D10S1248,0,AfAm
13.2,D12S391,0,AfAm
13.2,D13S317,0,AfAm
13.2,D16S539,0,AfAm
13.2,D18S51,0.0043859649122807,AfAm
13.2,D19S433,0.0526315789473684,AfAm
13.2,D1S1656,0,AfAm
13.2,D21S11,0,AfAm
13.2,D22S1045,0,AfAm
13.2,D2S1338,0,AfAm
13.2,D2S441,0,AfAm
13.2,D3S1358,0,AfAm
13.2,D5S818,0,AfAm
13.2,D6S1043,0,AfAm
13.2,D7S820,0,AfAm
13.2,D8S1179,0,AfAm
13.2,F13A01,0,AfAm
13.2,F13B,0,AfAm
13.2,FESFPS,0,AfAm
13.2,FGA,0,AfAm
13.2,LPL,0,AfAm
13.2,Penta_C,0,AfAm
13.2,Penta_D,0,AfAm
13.2,Penta_E,0,AfAm
13.2,SE33,0.00584795321637427,AfAm
13.2,TH01,0,AfAm
13.2,TPOX,0,AfAm
13.2,vWA,0,AfAm
13.3,CSF1PO,0,AfAm
13.3,D10S1248,0,AfAm
13.3,D12S391,0,AfAm
13.3,D13S317,0,AfAm
13.3,D16S539,0,AfAm
13.3,D18S51,0,AfAm
13.3,D19S433,0,AfAm
13.3,D1S1656,0,AfAm
13.3,D21S11,0,AfAm
13.3,D22S1045,0,AfAm
13.3,D2S1338,0,AfAm
13.3,D2S441,0.00292397660818713,AfAm
13.3,D3S1358,0,AfAm
13.3,D5S818,0,AfAm
13.3,D6S1043,0,AfAm
13.3,D7S820,0,AfAm
13.3,D8S1179,0,AfAm
13.3,F13A01,0,AfAm
13.3,F13B,0,AfAm
13.3,FESFPS,0,AfAm
13.3,FGA,0,AfAm
13.3,LPL,0,AfAm
13.3,Penta_C,0,AfAm
13.3,Penta_D,0,AfAm
13.3,Penta_E,0,AfAm
13.3,SE33,0,AfAm
13.3,TH01,0,AfAm
13.3,TPOX,0,AfAm
13.3,vWA,0,AfAm
13.4,CSF1PO,0,AfAm
13.4,D10S1248,0,AfAm
13.4,D12S391,0,AfAm
13.4,D13S317,0,AfAm
13.4,D16S539,0,AfAm
13.4,D18S51,0,AfAm
13.4,D19S433,0,AfAm
13.4,D1S1656,0,AfAm
13.4,D21S11,0,AfAm
13.4,D22S1045,0,AfAm
13.4,D2S1338,0,AfAm
13.4,D2S441,0,AfAm
13.4,D3S1358,0,AfAm
13.4,D5S818,0,AfAm
13.4,D6S1043,0,AfAm
13.4,D7S820,0,AfAm
13.4,D8S1179,0,AfAm
13.4,F13A01,0,AfAm
13.4,F13B,0,AfAm
13.4,FESFPS,0,AfAm
13.4,FGA,0,AfAm
13.4,LPL,0,AfAm
13.4,Penta_C,0,AfAm
13.4,Penta_D,0.00146198830409357,AfAm
13.4,Penta_E,0,AfAm
13.4,SE33,0,AfAm
13.4,TH01,0,AfAm
13.4,TPOX,0,AfAm
13.4,vWA,0,AfAm
14,CSF1PO,0.0087719298245614,AfAm
14,D10S1248,0.276315789473684,AfAm
14,D12S391,0.00146198830409357,AfAm
14,D13S317,0.0394736842105263,AfAm
14,D16S539,0.0248538011695906,AfAm
14,D18S51,0.0716374269005848,AfAm
14,D19S433,0.210526315789474,AfAm
14,D1S1656,0.257309941520468,AfAm
14,D21S11,0,AfAm
14,D22S1045,0.0774853801169591,AfAm
14,D2S1338,0,AfAm
14,D2S441,0.267543859649123,AfAm
14,D3S1358,0.0906432748538012,AfAm
14,D5S818,0.0160818713450292,AfAm
14,D6S1043,0.0584795321637427,AfAm
14,D7S820,0.00146198830409357,AfAm
14,D8S1179,0.293859649122807,AfAm
14,F13A01,0.0175438596491228,AfAm
14,F13B,0,AfAm
14,FESFPS,0,AfAm
14,FGA,0,AfAm
14,LPL,0.00730994152046784,AfAm
14,Penta_C,0.0394736842105263,AfAm
14,Penta_D,0.0248538011695906,AfAm
14,Penta_E,0.0687134502923977,AfAm
14,SE33,0.0511695906432749,AfAm
14,TH01,0,AfAm
14,TPOX,0,AfAm
14,vWA,0.0804093567251462,AfAm
14.2,CSF1PO,0,AfAm
