"","n_sibs","n_half_sibs","n_first_degree","n_second_degree","n_third_degree"
"893",2,0,5,24,48
"894",2,0,9,8,10
"895",1,0,4,5,10
"896",1,0,3,5,4
"897",5,0,7,8,6
"898",0,0,2,4,6
"899",2,0,4,11,14
"900",1,0,6,5,8
"901",1,0,3,10,19
"902",1,0,5,7,10
"903",9,0,13,32,19
"904",1,0,3,6,1
"905",2,0,4,4,2
"906",8,0,12,21,13
"907",0,0,5,8,38
"908",2,0,4,4,11
"909",0,0,5,2,9
"910",1,0,9,15,30
"911",2,0,5,18,7
"912",5,0,9,11,9
"913",2,0,7,2,5
"914",0,0,7,14,36
"915",0,0,8,3,9
"916",0,0,3,5,26
"917",4,0,6,13,5
"918",6,0,8,10,0
"919",6,0,9,12,17
"920",1,0,3,3,8
"921",3,0,5,10,5
"922",1,0,6,5,6
"923",3,0,10,8,17
"924",1,0,4,10,14
"925",1,0,6,11,16
"926",1,0,3,6,7
"927",4,0,10,4,13
"928",7,0,10,9,2
"929",1,0,3,10,9
"930",0,0,6,4,6
"931",2,0,6,15,27
"932",3,0,8,21,7
"933",2,0,4,7,3
"934",0,0,5,2,2
"935",1,0,5,7,6
"936",3,0,9,13,24
"937",3,0,10,15,13
"938",3,0,9,23,14
"939",1,0,7,10,6
"940",1,0,4,12,31
"941",1,0,8,9,15
"942",1,0,5,9,19
"943",1,0,3,8,28
"944",3,0,6,21,29
"945",0,0,5,6,7
"946",3,0,9,23,28
"947",4,0,7,28,25
"948",0,0,5,7,16
"949",2,0,9,11,40
"950",9,0,15,24,28
"951",0,0,5,4,12
"952",2,0,6,10,6
"953",1,0,6,14,16
"954",5,0,19,16,4
"955",2,0,12,12,0
"956",1,0,5,19,15
"957",3,0,13,11,14
"958",1,0,8,12,17
"959",4,0,8,10,15
"960",3,0,5,16,15
"961",10,0,14,30,8
"962",2,0,4,10,20
"963",7,0,9,24,26
"964",3,0,8,19,1
"965",7,0,16,24,14
"966",2,0,7,9,21
"967",1,0,7,7,11
"968",1,0,3,10,22
"969",10,0,17,27,0
"970",2,0,7,7,2
"971",7,0,9,25,6
"972",3,0,6,18,27
"973",2,0,11,11,23
"974",0,0,5,5,9
"975",0,0,2,6,15
"976",5,0,9,30,19
"977",6,0,10,18,2
"978",3,0,7,6,3
"979",5,0,7,27,27
"980",3,0,9,13,17
"981",0,0,4,3,13
"982",5,0,11,28,17
"983",6,0,13,12,16
"984",1,0,6,4,4
"985",5,0,7,15,9
"986",2,0,4,5,5
"987",6,0,13,11,7
"988",3,0,7,10,0
"989",1,0,7,0,0
"990",5,0,10,21,12
"991",2,0,4,10,15
"992",1,0,7,11,3
"993",0,0,5,4,14
"994",0,0,2,3,10
"995",0,0,5,4,6
"996",1,0,9,12,27
"997",3,0,8,18,12
"998",7,0,12,11,0
"999",3,0,10,19,21
"1000",0,0,9,3,10
