Allele,Marker,Frequency,Population,Sample_Size
21,...12,0.03177966101694915,"1036 revised Hispanic,",=236
21,...16,0.006355932203389831,"1036 revised Hispanic,",=236
21,...22,0.15254237288135594,"1036 revised Hispanic,",=236
21,...26,0.006355932203389831,"1036 revised Hispanic,",=236
21,...27,0.01694915254237288,"1036 revised Hispanic,",=236
21,...30,0.00211864406779661,"1036 revised Hispanic,",=236
21.2,...27,0.01694915254237288,"1036 revised Hispanic,",=236
21.3,...16,0.0423728813559322,"1036 revised Hispanic,",=236
22,...4,0.06779661016949153,"1036 revised Hispanic,",=236
22,...7,0.01059322033898305,"1036 revised Hispanic,",=236
22,...12,0.057203389830508475,"1036 revised Hispanic,",=236
22,...22,0.1652542372881356,"1036 revised Hispanic,",=236
22,...26,0.00211864406779661,"1036 revised Hispanic,",=236
22,...27,0.014830508474576272,"1036 revised Hispanic,",=236
22.2,...4,0.00211864406779661,"1036 revised Hispanic,",=236
22.2,...22,0.00423728813559322,"1036 revised Hispanic,",=236
22.2,...27,0.0211864406779661,"1036 revised Hispanic,",=236
22.3,...16,0.012711864406779662,"1036 revised Hispanic,",=236
23,...4,0.057203389830508475,"1036 revised Hispanic,",=236
23,...12,0.13983050847457626,"1036 revised Hispanic,",=236
23,...22,0.12076271186440678,"1036 revised Hispanic,",=236
23,...26,0.006355932203389831,"1036 revised Hispanic,",=236
23.2,...22,0.00423728813559322,"1036 revised Hispanic,",=236
23.2,...27,0.023305084745762712,"1036 revised Hispanic,",=236
23.3,...16,0.00211864406779661,"1036 revised Hispanic,",=236
24,...4,0.01694915254237288,"1036 revised Hispanic,",=236
24,...7,0.00211864406779661,"1036 revised Hispanic,",=236
24,...12,0.07627118644067797,"1036 revised Hispanic,",=236
24,...22,0.1419491525423729,"1036 revised Hispanic,",=236
24.2,...10,0.00211864406779661,"1036 revised Hispanic,",=236
24.2,...27,0.023305084745762712,"1036 revised Hispanic,",=236
25,...4,0.006355932203389831,"1036 revised Hispanic,",=236
25,...12,0.07838983050847458,"1036 revised Hispanic,",=236
25,...22,0.11864406779661017,"1036 revised Hispanic,",=236
25,...26,0.00423728813559322,"1036 revised Hispanic,",=236
25.2,...27,0.023305084745762712,"1036 revised Hispanic,",=236
26,...4,0.006355932203389831,"1036 revised Hispanic,",=236
26,...12,0.01694915254237288,"1036 revised Hispanic,",=236
26,...22,0.0614406779661017,"1036 revised Hispanic,",=236
26.2,...10,0.00211864406779661,"1036 revised Hispanic,",=236
26.2,...27,0.07415254237288135,"1036 revised Hispanic,",=236
27,...4,0.006355932203389831,"1036 revised Hispanic,",=236
27,...10,0.02754237288135593,"1036 revised Hispanic,",=236
27,...22,0.04449152542372881,"1036 revised Hispanic,",=236
